uri,Glossary Term,definition,type,label,alternative label,tag,description,definition extension,editorial note,document link,seeAlso,broader term,narrower term,related term,has exact match,has close match,has broader match,has related match
http://nwcg.gov/glos/nwcg_terms/nwcg-breakaLine,break a line,To insert a gate valve or some other device into a hose line.,Business Term,break a line,,Incident,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-branch,branch,"The organizational level having functional or geographical responsibility for major parts of incident operations. The branch level is organizationally between section and division/group in the operations section, and between section and unit in the logistics section. Branches are identified by roman numerals or by functional name (e.g. service, support).&nbsp;",Business Term,branch,,Incident,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-boxCanyon,box canyon,"A steep-sided, dead end canyon.",Business Term,box canyon,,Incident,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-boundaryLayerAir,boundary layer (air),"According to the American Meteorological Society, the layer of air near a boundary that is affected by friction against that boundary surface, and possibly by transport of heat and other variables across that surface.",Business Term,boundary layer (air),,Fire Environment,,,,https://glossary.ametsoc.org/wiki/Boundary_layer,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-boosterReel,booster reel,"A reel for the booster hose mounted on a fire engine, often supplied by the auxiliary pump. This reel usually carries a 1-inch (25 mm) or 3/4 inch (19 mm) hose and frequently contains an electric rewind mechanism.",Business Term,booster reel,,Resources,,,,,,,,hose reel,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-boneYardArea,bone yard (area),An area cleared to mineral soil for piling unburned fuels.,Business Term,bone yard (area),,Incident,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-bole,bole,The trunk of a tree.,Business Term,bole,,Incident,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-variableCeiling,variable ceiling,"A ceiling of less than 3,000 feet (900 m) which rapidly increases or decreases in height by one or more reportable values during the period of observation.",Business Term,variable ceiling,,Fire Environment,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-convergence,convergence,"The term for horizontal air currents merging together or approaching a single point, such as at the center of a low pressure area producing a net inflow of air. When this occurs in the lower atmosphere, the excess air is removed by rising air currents. Expansion of the rising air above a convergence zone results in cooling, which in turn often gives condensation (clouds) and sometimes precipitation.&nbsp;",Business Term,convergence,,Fire Environment,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-combustionRate,combustion rate,Rate of heat release per unit of burning area per unit of time.,Business Term,combustion rate,,Fire Environment,,,JK-checked.,,,,,reaction intensity,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-maritimeAir,maritime air,Air which has assumed high moisture content and the temperature characteristics of a water surface due to extensive exposure to that surface.,Business Term,maritime air,,Fire Environment,,,gb,http://glossary.ametsoc.org/wiki/Maritime_air,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-thinLayer,thin layer,Layer of clouds whose ratio of dense sky cover to total sky cover is 1/2 or less.,Business Term,thin layer,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-eddy,eddy,"A circular-like flow of a fluid (such as air or water) drawing its energy from a flow of much larger scale, and brought about by pressure irregularities as in the downwind (lee) side of a solid obstacle. For example, wind conditions may be erratic and may eddy on the downwind side of large rock outcroppings, buildings, etc.&nbsp;",Business Term,eddy,,"Fuels, Fire Environment",,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-soundingUpperAirSounding,sounding (upper air sounding),"A sampling of upper air conditions made by means of instruments and a small radio transmitter on a free balloon. Automatic radio signals originated by action of weather instruments are sent to a ground receiver. These signals are interpreted for use in analyzing and predicting upper air conditions over a wide area of the earth. Weather elements determined at a number of altitude points as the balloon rises are temperature, atmospheric moisture, pressure, wind direction and speed. Similar soundings may be made using fixed balloons or tethersondes.",Business Term,sounding (upper air sounding),"sounding, upper air sounding",Fire Environment,,,GB,http://glossary.ametsoc.org/wiki/Upper-air_sounding,,,,radiosonde,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-localWinds,local winds,Winds which are generated over a comparatively small area by local terrain and weather. They differ from those which would be appropriate to the general pressure pattern.,Business Term,local winds,,Fire Environment,,,gb,http://glossary.ametsoc.org/wiki/Local_winds,,,,"slope winds, general winds",,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-virga,virga,Precipitation falling out of a cloud but evaporating before reaching the ground.,Business Term,virga,,Fire Environment,,,,https://glossary.ametsoc.org/wiki/Virga,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-infraredGroundlink,Infrared Groundlink,A capability through the use of a special mobile ground station to receive air-to-ground IR imagery at an incident.,Business Term,Infrared Groundlink,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fuelDrynessLevel,Fuel Dryness Level,"A quantitative measure of fuel moisture and receptability to ignition as determined by an accepted Fire Danger Rating System index that influences fire growth, intensity, or activity.",Business Term,Fuel Dryness Level,,Fire Environment,,,gb,,,,,"Dry Episode, high fire risk day",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-flashoverBehavior,flashover (behavior),Rapid combustion and/or explosion of unburned gases trapped at some distance from the main fire front. Usually occurs only in poorly ventilated topography.,Business Term,flashover (behavior),,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-droughtIndex,drought index,"A number representing the net effect of evaporation, transpiration and precipitation in producing cumulative moisture depletion in deep duff or upper soil layers.",Business Term,drought index,,Fire Environment,,,gb,,,,,Keetch-Byram Drought Index,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-dispersion,dispersion,The decrease in concentration of airborne pollutants as they spread throughout an increasing volume of atmosphere.,Business Term,dispersion,,Fire Environment,,,JK-checked.,,,,,dilution,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-ventilationFactor,ventilation factor,"A numerical value relating the potential of the atmosphere to disperse airborne pollutants from a stationary source, calculated by multiplying the mixing height by the transport wind speed.",Business Term,ventilation factor,,Fire Environment,,,,,,,,"mixing layer, transport wind speed",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-thermalImagery,thermal imagery,The display or printout of an infrared scanner operating over a fire.,Business Term,thermal imagery,infrared imagery,Fire Environment,,,GB,,,,,Infrared,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-seaBreeze,sea breeze,A breeze (wind) blowing inland from the sea generally during daytime hours.,Business Term,sea breeze,,Fire Environment,,,GB,http://glossary.ametsoc.org/wiki/Sea_breeze,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-sunsetAndSunrise,sunset and sunrise,"The mean solar times of sunset and sunrise as published in the Nautical Almanac, converted to local standard time for the locality concerned.",Business Term,sunset and sunrise,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-statistic,statistic,The number that results from manipulating raw data according to a specified procedure; associated with samples.,Business Term,statistic,,Fire Environment,,,GB,,,,,parameter,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-ridge,ridge,An elongated area of relatively high atmospheric pressure extending from the center of a high-pressure region.,Business Term,ridge,,Fire Environment,,,gb,http://glossary.ametsoc.org/wiki/Ridge,,,,surface high,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-conflagrationThreat,conflagration threat,Likelihood that a wildfire capable of causing considerable damage will occur.,Business Term,conflagration threat,,Fire Environment,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-energyReleaseComponent,Energy Release Component,The computed total heat release per unit area (British thermal units per square foot) within the flaming front at the head of a moving fire.,Business Term,Energy Release Component,,Fire Environment,,,GB,,,,,staffing index,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-precipitation,precipitation,"Any or all forms of water particles, liquid or solid, that fall from the atmosphere and reach the ground.",Business Term,precipitation,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-soot,soot,Carbon dust formed by incomplete combustion.,Business Term,soot,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-probabilityForecast,probability forecast,A forecast of the probability of occurrence of one or more of a mutually exclusive set of weather contingencies as distinguished from a series of categorical statements.,Business Term,probability forecast,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-heatReleaseRateConsumed,heat release rate (consumed),Total amount of heat produced per unit mass of fuel consumed per unit time.,Business Term,heat release rate (consumed),,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-blowup,blowup,Sudden increase in fireline intensity or rate of spread of a fire sufficient to preclude direct control or to upset existing suppression plans. Often accompanied by violent convection and may have other characteristics of a fire storm.,Business Term,blowup,,Fire Environment,,,JK-checked.,,,,,"flare-up, extreme fire behavior, fire storm",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-flashoverStageOfFire,flashover (stage of fire),"Stage of a fire at which all surfaces and objects within a space have been heated to their ignition temperature, and flame breaks out almost at once over the surface of all objects within the space.",Business Term,flashover (stage of fire),,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireFloodCycle,fire-flood cycle,The greatly increased rate of water run off and soil movement from steep slopes that may follow removal of the vegetative cover by burning.,Business Term,fire-flood cycle,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-inversion,inversion,"Atmospheric inversion. The departure from the usual increase or decrease with altitude of the value of an atmospheric property. In fire management usage, nearly always refers to an increase in temperature with increasing height. Also, the layer through which this departure occurs (also called inversion layer.) The lowest altitude at which the departure is found is called the base of the inversion.",Business Term,inversion,inversion layer,"Fuels, Fire Environment",,,gb,,,,,"stable layer of air, atmospheric inversion, atmospheric stability",,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-atmosphericInversion,atmospheric inversion,"According to the American Meteorological Society, a departure from the usual decrease or increase with altitude of the value of an atmospheric property; also, the layer through which this departure occurs (the ""inversion layer""), or the lowest altitude at which the departure is found (""the base of the inversion""). In fire management usage, nearly always refers to an increase in temperature with increasing height.",Business Term,atmospheric inversion,,Fire Environment,,,JK-checked.,https://glossary.ametsoc.org/wiki/Inversion,,,,"inversion, stable layer of air, atmospheric stability",,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-windProfile,wind profile,"A chart of wind speed in relation to height, most commonly determined by a pilot balloon observation.",Business Term,wind profile,,Fire Environment,,,,https://glossary.ametsoc.org/wiki/Wind_profile,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-convergenceZoneFireWeather,convergence zone (fire weather),"In fire weather, that area where two winds come together from opposite directions and are forced upwards often creating clouds and precipitation.",Business Term,convergence zone (fire weather),,Fire Environment,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-windspeedMeter,windspeed meter,"A handheld device which indicates wind speed, usually in miles per hour.",Business Term,windspeed meter,,Fire Environment,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-adjectiveRating,adjective rating,A public information description of the relative severity of the current fire danger situation.,Business Term,adjective rating,,Fire Environment,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-surfaceLow,surface low,"An area on the earth's surface where atmospheric pressure is at a relative minimum. Winds blow counter-clockwise around lows in the Northern Hemisphere but, due to friction with the earth's surface, tend to cross constant pressure lines toward the low center. Upon converging into the low's center, air currents are forced to rise. As air rises it cools due to expansion. Cooling reduces its capacity to hold moisture; so cloudiness and precipitation are common in lows. If a low center intensifies sufficiently it will take on the characteristics of a storm center with precipitation and strong winds.",Business Term,surface low,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-surfaceWind,surface wind,"Wind measured at a surface observing station, customarily at some distance (usually 20 feet) above the average vegetative surface to minimize the distorting effects of local obstacles and terrain.",Business Term,surface wind,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-celsius,celsius,"According to the American Meteorological Society, same as centigrade temperature scale, by convention. Centigrade temperature scale is a temperature scale with the ice point of water at 0 degrees and the boiling point at 100 degrees.",Business Term,celsius,,Fire Environment,,,JK-checked.,https://glossary.ametsoc.org/wiki/Centigrade_temperature_scale,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-variableSkyCondition,variable sky condition,A sky condition that varies between reportable values of sky cover amounts during the period of observation.,Business Term,variable sky condition,,Fire Environment,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-stableAtmosphere,stable atmosphere,"Condition of the atmosphere in which the temperature decrease with increasing altitude is less than the dry adiabatic lapse rate. In this condition, the atmosphere tends to suppress large-scale vertical motion.",Business Term,stable atmosphere,stable air,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-atmosphericStability,atmospheric stability,"According to the American Meteorological Society, the ability of the atmosphere at rest to become turbulent or laminar due to the effects of buoyancy. Air tending to become or remain turbulent is said to be statically unstable; one tending to become or remain laminar is statically stable; and one on the borderline between the two (which might remain laminar or turbulent depending on its history) is statically neutral.",Business Term,atmospheric stability,static stability,Fire Environment,,,JK-checked.,https://glossary.ametsoc.org/wiki/Static_stability,,,,"inversion, stable layer of air, atmospheric inversion",,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-wetBulbThermometer,wet-bulb thermometer,"In a psychrometer, the thermometer with its bulb covered with a jacket of clean muslin which is saturated with distilled water before an observation.",Business Term,wet-bulb thermometer,,Fire Environment,,,,https://glossary.ametsoc.org/wiki/Wet-bulb_thermometer,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-low,low,"An area of relatively low atmospheric pressure in which winds tend to move in a counterclockwise direction, spiraling in toward the low's center.",Business Term,low,,Fire Environment,,,gb,http://glossary.ametsoc.org/wiki/Low,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-convectionEnergyTransfer,convection (energy transfer),"The transfer of heat by the movement of a gas or liquid; convection, conduction, and radiation are the principal means of energy transfer.",Business Term,convection (energy transfer),,Fire Environment,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-ventilationIndex,ventilation index,"A measure of the volume rate of horizontal transport of air within the mixing layer, per unit distance, normal to the wind. Units are measured in square meters per second or knot-feet.",Business Term,ventilation index,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-mixingLayer,mixing layer,"That portion of the atmosphere from the surface up to the mixing height. This is the layer of air, usually below a stable layer, within which pollutants are mixed by turbulence and diffusion.",Business Term,mixing layer,mixed layer,Fire Environment,,,gb,http://glossary.ametsoc.org/wiki/Mixing_layer,,,,"ventilation factor, transport wind speed",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-remoteAutomaticWeatherStation,Remote Automatic Weather Station,A weather station that transmits weather observations via GOES satellite to the Wildland Fire Management Information system.,Business Term,Remote Automatic Weather Station,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-thinSkyCover,thin sky cover,Sky cover through which higher clouds or the sky can be detected.,Business Term,thin sky cover,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-heatReleaseRateReleased,heat release rate (released),Amount of heat released to the atmosphere from the convective-lift fire phase of a fire per unit time.,Business Term,heat release rate (released),,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-microRemoteEnvironmentalMonitoringSystem,Micro-Remote Environmental Monitoring System,"Mobile weather monitoring station. Each unit consists of a shipping container, solar panel, battery, temperature/relative humidity sensor, wind mast, wind direction/speed sensor, data logger and radio. A Micro-REMS usually accompanies an incident meteorologist and ATMU to an incident.&nbsp;",Business Term,Micro-Remote Environmental Monitoring System,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-fireWeatherWatch,fire weather watch,"A Fire Weather Watch is issued to advise of conditions which could result in extensive wildland fire occurrence or extreme fire behavior, which are expected to develop in the next 12 to 48 hours, but not more than 72 hours. In cases of dry lightning, a Fire Weather Watch may be issued for the next 12 hours.&nbsp;",Business Term,fire weather watch,,Fire Environment,,,gb,,,,,red flag warning,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-lightWind,light wind,"Wind speed less than 7 mph (6 knots) measured at 20 feet above ground. At eye level, light winds are less than 3 mph (3 knots).",Business Term,light wind,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-zoneWeatherForecast,zone weather forecast,"A portion of the general fire weather forecast issued on a regular basis during the normal fire season specifically to fit the requirements of fire management needs; i.e., time, areas, and weather elements. These zones or areas are a combination of administrative and climatological areas, usually nearly the size of an individual forest or district.&nbsp;",Business Term,zone weather forecast,,Fire Environment,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-offshoreFlow,offshore flow,Wind blowing from land to water.,Business Term,offshore flow,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-flashFuels,flash fuels,"Highly combustible fine fuels such as grass, leaves, draped pine needles, fern, tree moss and some kinds of slash, which ignite readily and are consumed rapidly when dry.",Business Term,flash fuels,,Fire Environment,,,gb,,,,,fine fuels,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-lapseRate,lapse rate,Change of an atmospheric variable (temperature unless specified otherwise) with height.,Business Term,lapse rate,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-stateOfWeather,state of weather,"A code which expresses the amount of cloud cover, kind of precipitation, and/or restrictions to visibility being observed at the fire danger station at basic observation time.",Business Term,state of weather,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-visibility,visibility,"The greatest horizontal distance at which selected objects can be seen and identified, or its equivalent derived from instrumental measurements.",Business Term,visibility,,"Fuels, Fire Environment",,,,https://glossary.ametsoc.org/wiki/Visibility,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-probability,probability,"A number representing the chance that a given event will occur. The range is from 0% for an impossible event, to 100% for an inevitable event.",Business Term,probability,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-smog,smog,Generally considered only photochemical air pollution. Originally meant a combination of smoke and fog.,Business Term,smog,,"Fuels, Fire Environment",,,GB,http://glossary.ametsoc.org/wiki/Smog,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-ceiling,ceiling,"According to the American Meteorological Society, the height ascribed to the lowest layer of clouds or obscuring phenomena when it is reported as broken, overcast, or obscuration and not classified ""thin"" or ""partial."" The ceiling is termed unlimited when the foregoing conditions are not satisfied.",Business Term,ceiling,,Fire Environment,,,JK-checked.,https://glossary.ametsoc.org/wiki/Ceiling,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-stormCenter,storm center,"The central point or area of a weather system associated with increased winds, clouds or precipitation (or any combination thereof).",Business Term,storm center,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-significantWeatherTrigger,significant weather trigger,"A weather phenomenon resulting in an environment that has a significant impact on fire spread, intensity, or occurrence. Example: strong wind, unstable air mass, etc.",Business Term,significant weather trigger,,Fire Environment,,,GB,,,,,"fire potential, high fire risk day",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-onshoreFlow,onshore flow,Wind blowing from water to land.,Business Term,onshore flow,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-residenceTime,residence time,"The time, in seconds, required for the flaming front of a fire to pass a stationary point at the surface of the fuel. The total length of time that the flaming front of the fire occupies one point.",Business Term,residence time,,Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-highFireRiskDay,high fire risk day,A day when an ignition trigger and/or significant weather trigger and an appropriate fuel dryness level combine to create conditions that historically have resulted in a significant fire event for a particular area.,Business Term,high fire risk day,,Fire Environment,,,gb,,,,,"ignition trigger, significant fire event, Fuel Dryness Level, significant weather trigger",,,,
http://nwcg.gov/glos/nwcg_terms/ametsoc-slopeWinds,slope winds,Small scale convective winds that occur due to local heating and cooling of a natural incline of the ground.,Business Term,slope winds,,Fire Environment,,,GB,http://glossary.ametsoc.org/wiki/Slope_winds,,,,"local winds, general winds",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-humidity,humidity,General term referring to the moisture content of the atmosphere.,Business Term,humidity,,Fire Environment,,,gb,,,,,Relative Humidity,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-coldFront,cold front,"The leading edge of a relatively cold air mass which displaces warmer air, causing it to rise. If the lifted air contains enough moisture, cloudiness, precipitation and even thunderstorms may result. As fronts move through a region, in the Northern Hemisphere, the winds at a given location will experience a marked shift in direction. Ahead of an approaching cold front, winds will usually shift gradually from southeast to south, and on to southwest. As a cold front passes, winds shift rapidly to west, then northwest. Typical cold front windspeeds range between 15 and 30 mph but can be much higher.&nbsp;",Business Term,cold front,,Fire Environment,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-windSpeedOpenGround,wind speed (open ground),"Wind, in miles per hour, measured at 20 feet above open, level ground or as adjusted to meet this standard to compensate for height of ground cover, uneven ground, and nearby obstructions.",Business Term,wind speed (open ground),,Fire Environment,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-model,model,"A simplified or generalized representation of reality; a description, analogy, picture, or hypothesis to help visualize something that cannot be directly observed.",Business Term,model,,Fire Environment,,,gb,,,,,"conceptual model, mathematical model",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-heatTrough,Heat Trough,A Heat Low which is elongated in shape.,Business Term,Heat Trough,"Thermal Low, Thermal Trough, Heat Low",Fire Environment,,,gb,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-variableWindDirection,variable wind direction,Wind direction which varies by 60 degrees or more during the period of time the wind direction is being determined.,Business Term,variable wind direction,,Fire Environment,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-surfaceHigh,surface high,"An area on the earth's surface where atmospheric pressure is at a relative maximum. Winds blow clockwise around highs in the Northern Hemisphere but, due to friction with the earth's face, tend to cross constant pressure lines away from the high center. Air is usually subsiding above a surface high. This causes warming due to air compression. This results in stable atmospheric conditions and light surface winds.&nbsp;",Business Term,surface high,,Fire Environment,,,GB,,,,,"anticyclone, ridge",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-subsidence,subsidence,Downward or sinking motion of air in the atmosphere. Subsiding air warms due to compression. Increasing temperature and decreasing humidities are present in subsiding air. Subsidence results in a stable atmosphere inhibiting dispersion. Subsidence is generally associated with high atmospheric pressure.&nbsp;,Business Term,subsidence,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-conceptualModel,conceptual model,"A model that is a diagram or description of a set of relationships between factors that describe how a system works, such as an ecological model.",Business Term,conceptual model,,Fire Environment,,,JK-checked.,,,,,model,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-environment,environment,"The complex surroundings of an item or area of interest, such as air, water, natural resources, and their physical conditions (temperature, humidity).",Business Term,environment,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-windSpeedVelocity,wind speed (velocity),"Wind, in miles per hour,  measured at 20 feet above ground, or above the average height of vegetation, and averaged over at least a 10-minute period.",Business Term,wind speed (velocity),wind velocity,Fire Environment,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-chainLightning,chain lightning,Lightning in a long zigzag or apparently broken line.,Business Term,chain lightning,,Fire Environment,,,JK-checked.,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-sampleSize,sample size,The number of items or observations in a sample; usually denoted by lower case letter n.,Business Term,sample size,,Fire Environment,,,GB,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-generalFireWeatherForecast,general fire weather forecast,"A forecast, issued daily during the regular fire season to resource management agencies, that is intended for planning of daily fire management activities, including daily staffing levels, prevention programs, and initial attack on wildfires.",Business Term,general fire weather forecast,presuppression forecast,Fire Environment,,,gb,,,,,"incident support organization, spot weather forecast, incident weather forecast",,,,
